backbone,dataset,spec,ndcg_at_10,delta_vs_identity,ci_lower,ci_upper,p_value,significant_05,bytes_per_vector,corpus_bytes,fit_ms,encode_ms,query_latency_ms,query_p95_ms
gte-base,arguana,identity,0.416681,0.000000,0.000000,0.000000,1.000000,0,3072,26646528,0.0,0.0,0.000525,0.000525
gte-base,arguana,float16,0.416831,0.000150,-0.000745,0.001100,0.768046,0,1536,13323264,0.0,0.0,0.000535,0.000535
gte-base,arguana,truncate(keep_dim=32),0.199389,-0.217292,-0.230093,-0.204238,0.000200,1,128,1110272,0.0,0.0,0.000497,0.000497
gte-base,arguana,truncate(keep_dim=64),0.294726,-0.121955,-0.132927,-0.110889,0.000200,1,256,2220544,0.0,0.0,0.000496,0.000496
gte-base,arguana,truncate(keep_dim=128),0.361553,-0.055128,-0.063766,-0.046780,0.000200,1,512,4441088,0.0,0.0,0.000520,0.000520
gte-base,arguana,truncate(keep_dim=256),0.392445,-0.024236,-0.030196,-0.018399,0.000200,1,1024,8882176,0.0,0.0,0.000577,0.000577
gte-base,arguana,truncate(keep_dim=512),0.406853,-0.009828,-0.013597,-0.006102,0.000200,1,2048,17764352,0.0,0.0,0.000654,0.000654
gte-base,arguana,scalar_int8,0.416607,-0.000075,-0.000830,0.000686,0.863427,0,768,6661632,0.0,0.0,0.000809,0.000809
gte-base,arguana,binary,0.348534,-0.068147,-0.076845,-0.059490,0.000200,1,96,832704,0.0,0.0,0.000683,0.000683
gte-base,arguana,"product_quantize(n_subspaces=4,n_bits=4)",0.063453,-0.353229,-0.367146,-0.339699,0.000200,1,2,17348,0.0,0.0,0.017173,0.017173
gte-base,arguana,"product_quantize(n_subspaces=4,n_bits=6)",0.159751,-0.256930,-0.272929,-0.240775,0.000200,1,3,26022,0.0,0.0,0.017085,0.017085
gte-base,arguana,"product_quantize(n_subspaces=4,n_bits=8)",0.256968,-0.159713,-0.177388,-0.141990,0.000200,1,4,34696,0.0,0.0,0.019159,0.019159
gte-base,arguana,"product_quantize(n_subspaces=8,n_bits=4)",0.068720,-0.347961,-0.361857,-0.333731,0.000200,1,4,34696,0.0,0.0,0.033126,0.033126
gte-base,arguana,"product_quantize(n_subspaces=8,n_bits=6)",0.187345,-0.229336,-0.246767,-0.212377,0.000200,1,6,52044,0.0,0.0,0.031739,0.031739
gte-base,arguana,"product_quantize(n_subspaces=8,n_bits=8)",0.254666,-0.162015,-0.178895,-0.145234,0.000200,1,8,69392,0.0,0.0,0.035138,0.035138
gte-base,arguana,"product_quantize(n_subspaces=16,n_bits=4)",0.122400,-0.294281,-0.309472,-0.279297,0.000200,1,8,69392,0.0,0.0,0.063663,0.063663
gte-base,arguana,"product_quantize(n_subspaces=16,n_bits=6)",0.205770,-0.210911,-0.225882,-0.195990,0.000200,1,12,104088,0.0,0.0,0.062798,0.062798
gte-base,arguana,"product_quantize(n_subspaces=16,n_bits=8)",0.280004,-0.136677,-0.151372,-0.122036,0.000200,1,16,138784,0.0,0.0,0.065956,0.065956
gte-base,arguana,"product_quantize(n_subspaces=32,n_bits=4)",0.222733,-0.193948,-0.208060,-0.180045,0.000200,1,16,138784,0.0,0.0,0.126491,0.126491
gte-base,arguana,"product_quantize(n_subspaces=32,n_bits=6)",0.278579,-0.138102,-0.150649,-0.125779,0.000200,1,24,208176,0.0,0.0,0.124429,0.124429
gte-base,arguana,"product_quantize(n_subspaces=32,n_bits=8)",0.328970,-0.087711,-0.099600,-0.076096,0.000200,1,32,277568,0.0,0.0,0.126374,0.126374
gte-base,arguana,"product_quantize(n_subspaces=64,n_bits=4)",0.304033,-0.112648,-0.125095,-0.100733,0.000200,1,32,277568,0.0,0.0,0.247529,0.247529
gte-base,arguana,"product_quantize(n_subspaces=64,n_bits=6)",0.329805,-0.086877,-0.097106,-0.076621,0.000200,1,48,416352,0.0,0.0,0.247212,0.247212
gte-base,arguana,"product_quantize(n_subspaces=64,n_bits=8)",0.366895,-0.049787,-0.058451,-0.041347,0.000200,1,64,555136,0.0,0.0,0.248947,0.248947
gte-base,arguana,"opq(n_subspaces=4,n_bits=4)",0.154577,-0.262104,-0.278137,-0.245895,0.000200,1,2,17348,0.0,0.0,0.337979,0.337979
gte-base,arguana,"opq(n_subspaces=4,n_bits=8)",0.305409,-0.111272,-0.128243,-0.094424,0.000200,1,4,34696,0.0,0.0,0.278373,0.278373
gte-base,arguana,"opq(n_subspaces=8,n_bits=4)",0.211836,-0.204845,-0.220176,-0.189483,0.000200,1,4,34696,0.0,0.0,0.460511,0.460511
gte-base,arguana,"opq(n_subspaces=8,n_bits=8)",0.309686,-0.106996,-0.122068,-0.091925,0.000200,1,8,69392,0.0,0.0,0.361225,0.361225
gte-base,arguana,"opq(n_subspaces=16,n_bits=4)",0.273243,-0.143438,-0.157655,-0.129134,0.000200,1,8,69392,0.0,0.0,0.632303,0.632303
gte-base,arguana,"opq(n_subspaces=16,n_bits=8)",0.344902,-0.071780,-0.084975,-0.058788,0.000200,1,16,138784,0.0,0.0,0.539936,0.539936
gte-base,arguana,"opq(n_subspaces=32,n_bits=4)",0.309808,-0.106873,-0.118095,-0.095521,0.000200,1,16,138784,0.0,0.0,0.994804,0.994804
gte-base,arguana,"opq(n_subspaces=32,n_bits=8)",0.358957,-0.057724,-0.067087,-0.048535,0.000200,1,32,277568,0.0,0.0,0.888203,0.888203
gte-base,arguana,"opq(n_subspaces=64,n_bits=4)",0.360062,-0.056620,-0.065553,-0.047716,0.000200,1,32,277568,0.0,0.0,1.642760,1.642760
gte-base,arguana,"opq(n_subspaces=64,n_bits=8)",0.382081,-0.034601,-0.041649,-0.027659,0.000200,1,64,555136,0.0,0.0,1.603986,1.603986
gte-base,arguana,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=4,n_bits=4))",0.031297,-0.385385,-0.398073,-0.372778,0.000200,1,2,17348,0.0,0.0,0.016211,0.016211
gte-base,arguana,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=4,n_bits=6))",0.097049,-0.319632,-0.334672,-0.304717,0.000200,1,3,26022,0.0,0.0,0.016389,0.016389
gte-base,arguana,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=4,n_bits=8))",0.145401,-0.271281,-0.286768,-0.255739,0.000200,1,4,34696,0.0,0.0,0.016439,0.016439
gte-base,arguana,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=8,n_bits=4))",0.071659,-0.345022,-0.359363,-0.331169,0.000200,1,4,34696,0.0,0.0,0.031677,0.031677
gte-base,arguana,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=8,n_bits=6))",0.106013,-0.310669,-0.325403,-0.295508,0.000200,1,6,52044,0.0,0.0,0.031772,0.031772
gte-base,arguana,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=8,n_bits=8))",0.164031,-0.252650,-0.267473,-0.238007,0.000200,1,8,69392,0.0,0.0,0.031809,0.031809
gte-base,arguana,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=16,n_bits=4))",0.114142,-0.302539,-0.317048,-0.288134,0.000200,1,8,69392,0.0,0.0,0.062669,0.062669
gte-base,arguana,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=16,n_bits=6))",0.178452,-0.238230,-0.253242,-0.223588,0.000200,1,12,104088,0.0,0.0,0.062735,0.062735
gte-base,arguana,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=16,n_bits=8))",0.223845,-0.192836,-0.206309,-0.179844,0.000200,1,16,138784,0.0,0.0,0.062751,0.062751
gte-base,arguana,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=32,n_bits=4))",0.215622,-0.201060,-0.214944,-0.187539,0.000200,1,16,138784,0.0,0.0,0.123806,0.123806
gte-base,arguana,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=32,n_bits=6))",0.266395,-0.150287,-0.162126,-0.138136,0.000200,1,24,208176,0.0,0.0,0.124034,0.124034
gte-base,arguana,"composed(truncate(keep_dim=64)+product_quantize(n_subspaces=32,n_bits=8))",0.288432,-0.128249,-0.139746,-0.116858,0.000200,1,32,277568,0.0,0.0,0.125375,0.125375
gte-base,arguana,composed(truncate(keep_dim=64)+binary),0.085698,-0.330983,-0.344452,-0.317680,0.000200,1,8,69392,0.0,0.0,0.000523,0.000523
gte-base,arguana,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=4,n_bits=4))",0.040525,-0.376156,-0.389066,-0.363297,0.000200,1,2,17348,0.0,0.0,0.016412,0.016412
gte-base,arguana,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=4,n_bits=6))",0.110867,-0.305814,-0.321102,-0.290453,0.000200,1,3,26022,0.0,0.0,0.016467,0.016467
gte-base,arguana,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=4,n_bits=8))",0.204552,-0.212129,-0.228166,-0.196200,0.000200,1,4,34696,0.0,0.0,0.016935,0.016935
gte-base,arguana,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=8,n_bits=4))",0.075382,-0.341299,-0.354655,-0.327907,0.000200,1,4,34696,0.0,0.0,0.031719,0.031719
gte-base,arguana,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=8,n_bits=6))",0.150696,-0.265986,-0.281108,-0.251076,0.000200,1,6,52044,0.0,0.0,0.031803,0.031803
gte-base,arguana,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=8,n_bits=8))",0.215599,-0.201082,-0.216129,-0.186289,0.000200,1,8,69392,0.0,0.0,0.032099,0.032099
gte-base,arguana,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=16,n_bits=4))",0.120556,-0.296125,-0.310755,-0.281804,0.000200,1,8,69392,0.0,0.0,0.062646,0.062646
gte-base,arguana,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=16,n_bits=6))",0.190226,-0.226456,-0.240800,-0.212100,0.000200,1,12,104088,0.0,0.0,0.062702,0.062702
gte-base,arguana,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=16,n_bits=8))",0.247781,-0.168900,-0.182614,-0.155379,0.000200,1,16,138784,0.0,0.0,0.062772,0.062772
gte-base,arguana,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=32,n_bits=4))",0.202818,-0.213863,-0.227956,-0.199758,0.000200,1,16,138784,0.0,0.0,0.123846,0.123846
gte-base,arguana,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=32,n_bits=6))",0.267362,-0.149319,-0.161540,-0.137213,0.000200,1,24,208176,0.0,0.0,0.123718,0.123718
gte-base,arguana,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=32,n_bits=8))",0.309710,-0.106972,-0.117952,-0.096269,0.000200,1,32,277568,0.0,0.0,0.124314,0.124314
gte-base,arguana,composed(truncate(keep_dim=128)+binary),0.158013,-0.258669,-0.272272,-0.245680,0.000200,1,16,138784,0.0,0.0,0.000527,0.000527
gte-base,arguana,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=4,n_bits=4))",0.054066,-0.362615,-0.376236,-0.349004,0.000200,1,2,17348,0.0,0.0,0.016748,0.016748
gte-base,arguana,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=4,n_bits=6))",0.125594,-0.291087,-0.306488,-0.275704,0.000200,1,3,26022,0.0,0.0,0.016244,0.016244
gte-base,arguana,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=4,n_bits=8))",0.234167,-0.182514,-0.199132,-0.165643,0.000200,1,4,34696,0.0,0.0,0.017199,0.017199
gte-base,arguana,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=8,n_bits=4))",0.075166,-0.341515,-0.355473,-0.327508,0.000200,1,4,34696,0.0,0.0,0.032044,0.032044
gte-base,arguana,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=8,n_bits=6))",0.167938,-0.248744,-0.264553,-0.233045,0.000200,1,6,52044,0.0,0.0,0.031454,0.031454
gte-base,arguana,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=8,n_bits=8))",0.262358,-0.154323,-0.170594,-0.138304,0.000200,1,8,69392,0.0,0.0,0.033070,0.033070
gte-base,arguana,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=16,n_bits=4))",0.143933,-0.272748,-0.287249,-0.257857,0.000200,1,8,69392,0.0,0.0,0.063112,0.063112
gte-base,arguana,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=16,n_bits=6))",0.238351,-0.178331,-0.192855,-0.163906,0.000200,1,12,104088,0.0,0.0,0.062397,0.062397
gte-base,arguana,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=16,n_bits=8))",0.277592,-0.139089,-0.151957,-0.126162,0.000200,1,16,138784,0.0,0.0,0.063489,0.063489
gte-base,arguana,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=32,n_bits=4))",0.207959,-0.208723,-0.222773,-0.195300,0.000200,1,16,138784,0.0,0.0,0.124312,0.124312
gte-base,arguana,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=32,n_bits=6))",0.269678,-0.147003,-0.159475,-0.134396,0.000200,1,24,208176,0.0,0.0,0.124168,0.124168
gte-base,arguana,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=32,n_bits=8))",0.326491,-0.090190,-0.100852,-0.079487,0.000200,1,32,277568,0.0,0.0,0.124826,0.124826
gte-base,arguana,composed(truncate(keep_dim=256)+binary),0.248343,-0.168338,-0.181070,-0.156144,0.000200,1,32,277568,0.0,0.0,0.000583,0.000583
